L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 4.85, 1, 11.0, 15, 32, gauss, 0.0
40, 4.65, 1, 11.4, 15, 32, gauss, 0.0
40, 4.95, 1, 12.4, 15, 32, gauss, 0.0
40, 4.6, 1, 11.8, 15, 32, gauss, 0.0
40, 5.05, 1, 11.2, 15, 32, gauss, 0.0
40, 5.3, 1, 11.9, 15, 32, gauss, 0.0
40, 5.05, 1, 11.5, 15, 32, gauss, 0.0
40, 4.65, 1, 12.7, 15, 32, gauss, 0.0
40, 4.9, 1, 12.0, 15, 32, gauss, 0.0
40, 5.05, 1, 12.6, 15, 32, gauss, 0.0
40, 5.3, 1, 12.8, 15, 32, gauss, 0.0
40, 4.8, 1, 11.4, 15, 32, gauss, 0.0
40, 5.1, 1, 11.6, 15, 32, gauss, 0.0
40, 5.0, 1, 12.2, 15, 32, gauss, 0.0
40, 4.85, 1, 11.4, 15, 32, gauss, 0.0
40, 5.05, 1, 12.0, 15, 32, gauss, 0.0
40, 4.65, 1, 12.6, 15, 32, gauss, 0.0
40, 4.8, 1, 12.5, 15, 32, gauss, 0.0
40, 5.4, 1, 11.3, 15, 32, gauss, 0.0
40, 4.9, 1, 11.0, 15, 32, gauss, 0.0
40, 4.95, 1, 11.7, 15, 32, gauss, 0.0
40, 4.7, 1, 11.5, 15, 32, gauss, 0.0
40, 5.1, 1, 12.4, 15, 32, gauss, 0.0
40, 5.15, 1, 11.7, 15, 32, gauss, 0.0
40, 4.9, 1, 11.8, 15, 32, gauss, 0.0
40, 4.65, 1, 12.5, 15, 32, gauss, 0.0
40, 4.9, 1, 12.9, 15, 32, gauss, 0.0
40, 4.95, 1, 12.9, 15, 32, gauss, 0.0
40, 5.2, 1, 11.2, 15, 32, gauss, 0.0
40, 5.05, 1, 12.4, 15, 32, gauss, 0.0
40, 5.15, 1, 11.1, 15, 32, gauss, 0.0
40, 4.8, 1, 12.3, 15, 32, gauss, 0.0
40, 4.75, 1, 12.6, 15, 32, gauss, 0.0
40, 5.15, 1, 12.5, 15, 32, gauss, 0.0
40, 4.8, 1, 12.1, 15, 32, gauss, 0.0
40, 5.35, 1, 12.3, 15, 32, gauss, 0.0
40, 4.5, 1, 12.9, 15, 32, gauss, 0.0
40, 5.4, 1, 11.8, 15, 32, gauss, 0.0
40, 4.5, 1, 11.0, 15, 32, gauss, 0.0
40, 4.6, 1, 12.6, 15, 32, gauss, 0.0
40, 5.1, 1, 11.1, 15, 32, gauss, 0.0
40, 4.95, 1, 11.4, 15, 32, gauss, 0.0
40, 5.3, 1, 11.3, 15, 32, gauss, 0.0
40, 4.5, 1, 12.2, 15, 32, gauss, 0.0
40, 4.95, 1, 11.9, 15, 32, gauss, 0.0
40, 5.0, 1, 12.0, 15, 32, gauss, 0.0
40, 4.65, 1, 11.8, 15, 32, gauss, 0.0
40, 5.2, 1, 12.2, 15, 32, gauss, 0.0
40, 5.25, 1, 12.1, 15, 32, gauss, 0.0
40, 4.9, 1, 12.5, 15, 32, gauss, 0.0
40, 4.6, 1, 11.7, 15, 32, gauss, 0.0
40, 4.95, 1, 12.1, 15, 32, gauss, 0.0
40, 5.25, 1, 12.4, 15, 32, gauss, 0.0
40, 5.2, 1, 11.6, 15, 32, gauss, 0.0
40, 5.25, 1, 11.3, 15, 32, gauss, 0.0
40, 4.6, 1, 12.0, 15, 32, gauss, 0.0
40, 4.75, 1, 11.4, 15, 32, gauss, 0.0
40, 5.45, 1, 12.5, 15, 32, gauss, 0.0
40, 5.3, 1, 12.6, 15, 32, gauss, 0.0
40, 5.25, 1, 12.3, 15, 32, gauss, 0.0
40, 4.95, 1, 11.8, 15, 32, gauss, 0.0
40, 5.1, 1, 12.3, 15, 32, gauss, 0.0
40, 5.35, 1, 12.5, 15, 32, gauss, 0.0
40, 5.15, 1, 12.9, 15, 32, gauss, 0.0
40, 4.9, 1, 11.9, 15, 32, gauss, 0.0
40, 4.8, 1, 12.0, 15, 32, gauss, 0.0
40, 5.35, 1, 12.9, 15, 32, gauss, 0.0
40, 4.85, 1, 11.3, 15, 32, gauss, 0.0
40, 4.55, 1, 11.7, 15, 32, gauss, 0.0
40, 4.65, 1, 11.1, 15, 32, gauss, 0.0
40, 4.5, 1, 11.3, 15, 32, gauss, 0.0
40, 5.0, 1, 11.0, 15, 32, gauss, 0.0
40, 4.6, 1, 12.3, 15, 32, gauss, 0.0
40, 5.4, 1, 11.6, 15, 32, gauss, 0.0
40, 5.35, 1, 11.5, 15, 32, gauss, 0.0
40, 4.95, 1, 11.2, 15, 32, gauss, 0.0
40, 4.85, 1, 12.5, 15, 32, gauss, 0.0
40, 5.1, 1, 11.4, 15, 32, gauss, 0.0
40, 5.1, 1, 12.0, 15, 32, gauss, 0.0
40, 4.8, 1, 12.7, 15, 32, gauss, 0.0
40, 4.7, 1, 11.0, 15, 32, gauss, 0.0
40, 5.35, 1, 11.2, 15, 32, gauss, 0.0
40, 5.05, 1, 11.9, 15, 32, gauss, 0.0
40, 5.3, 1, 12.3, 15, 32, gauss, 0.0
40, 4.7, 1, 11.1, 15, 32, gauss, 0.0
40, 4.6, 1, 12.8, 15, 32, gauss, 0.0
40, 4.8, 1, 11.7, 15, 32, gauss, 0.0
40, 5.15, 1, 12.8, 15, 32, gauss, 0.0
40, 5.2, 1, 11.7, 15, 32, gauss, 0.0
40, 5.05, 1, 12.9, 15, 32, gauss, 0.0
40, 4.9, 1, 11.2, 15, 32, gauss, 0.0
40, 4.65, 1, 12.0, 15, 32, gauss, 0.0
40, 5.3, 1, 11.0, 15, 32, gauss, 0.0
40, 4.55, 1, 12.1, 15, 32, gauss, 0.0
40, 4.75, 1, 12.5, 15, 32, gauss, 0.0
40, 5.45, 1, 11.5, 15, 32, gauss, 0.0
40, 4.85, 1, 11.1, 15, 32, gauss, 0.0
40, 5.3, 1, 12.2, 15, 32, gauss, 0.0
40, 5.35, 1, 12.4, 15, 32, gauss, 0.0
40, 4.85, 1, 12.7, 15, 32, gauss, 0.0
40, 4.7, 1, 12.1, 15, 32, gauss, 0.0
40, 4.9, 1, 11.5, 15, 32, gauss, 0.0
40, 5.15, 1, 11.2, 15, 32, gauss, 0.0
40, 4.9, 1, 11.6, 15, 32, gauss, 0.0
40, 5.3, 1, 11.5, 15, 32, gauss, 0.0
40, 5.1, 1, 11.0, 15, 32, gauss, 0.0
40, 5.2, 1, 12.6, 15, 32, gauss, 0.0
40, 4.65, 1, 12.8, 15, 32, gauss, 0.0
40, 4.9, 1, 12.4, 15, 32, gauss, 0.0
40, 5.45, 1, 11.9, 15, 32, gauss, 0.0
40, 4.6, 1, 11.3, 15, 32, gauss, 0.0
40, 5.3, 1, 11.2, 15, 32, gauss, 0.0
40, 4.7, 1, 11.8, 15, 32, gauss, 0.0
40, 4.7, 1, 12.3, 15, 32, gauss, 0.0
40, 4.75, 1, 12.8, 15, 32, gauss, 0.0
40, 4.75, 1, 12.2, 15, 32, gauss, 0.0
40, 4.8, 1, 11.9, 15, 32, gauss, 0.0
40, 5.35, 1, 12.7, 15, 32, gauss, 0.0
40, 5.1, 1, 12.8, 15, 32, gauss, 0.0
40, 4.9, 1, 12.7, 15, 32, gauss, 0.0
40, 5.35, 1, 11.0, 15, 32, gauss, 0.0
40, 4.55, 1, 12.5, 15, 32, gauss, 0.0
40, 5.1, 1, 12.1, 15, 32, gauss, 0.0
40, 4.95, 1, 11.1, 15, 32, gauss, 0.0
40, 4.9, 1, 12.6, 15, 32, gauss, 0.0
40, 5.15, 1, 12.3, 15, 32, gauss, 0.0
40, 4.7, 1, 11.3, 15, 32, gauss, 0.0
40, 5.05, 1, 12.7, 15, 32, gauss, 0.0
40, 5.3, 1, 12.0, 15, 32, gauss, 0.0
40, 5.15, 1, 11.0, 15, 32, gauss, 0.0
40, 5.45, 1, 11.2, 15, 32, gauss, 0.0
40, 5.4, 1, 11.7, 15, 32, gauss, 0.0
40, 5.4, 1, 12.3, 15, 32, gauss, 0.0
40, 5.2, 1, 12.0, 15, 32, gauss, 0.0
40, 4.85, 1, 12.4, 15, 32, gauss, 0.0
40, 5.15, 1, 12.4, 15, 32, gauss, 0.0
40, 4.7, 1, 12.4, 15, 32, gauss, 0.0
40, 4.7, 1, 11.9, 15, 32, gauss, 0.0
40, 4.55, 1, 12.3, 15, 32, gauss, 0.0
40, 5.3, 1, 11.7, 15, 32, gauss, 0.0
40, 4.85, 1, 12.3, 15, 32, gauss, 0.0
40, 4.75, 1, 11.1, 15, 32, gauss, 0.0
40, 4.9, 1, 11.1, 15, 32, gauss, 0.0
40, 5.3, 1, 11.6, 15, 32, gauss, 0.0
40, 4.6, 1, 11.4, 15, 32, gauss, 0.0
40, 4.8, 1, 12.9, 15, 32, gauss, 0.0
40, 4.5, 1, 12.4, 15, 32, gauss, 0.0
40, 4.5, 1, 11.1, 15, 32, gauss, 0.0
40, 4.6, 1, 12.7, 15, 32, gauss, 0.0
40, 4.85, 1, 12.6, 15, 32, gauss, 0.0
40, 4.5, 1, 11.7, 15, 32, gauss, 0.0
40, 4.55, 1, 12.2, 15, 32, gauss, 0.0
40, 4.85, 1, 11.5, 15, 32, gauss, 0.0
40, 4.75, 1, 12.3, 15, 32, gauss, 0.0
40, 5.1, 1, 12.2, 15, 32, gauss, 0.0
40, 5.45, 1, 11.6, 15, 32, gauss, 0.0
40, 4.75, 1, 11.9, 15, 32, gauss, 0.0
40, 4.75, 1, 11.7, 15, 32, gauss, 0.0
40, 5.25, 1, 11.8, 15, 32, gauss, 0.0
40, 5.25, 1, 11.7, 15, 32, gauss, 0.0
40, 4.75, 1, 11.6, 15, 32, gauss, 0.0
40, 5.25, 1, 11.1, 15, 32, gauss, 0.0
40, 4.95, 1, 12.8, 15, 32, gauss, 0.0
40, 4.7, 1, 12.8, 15, 32, gauss, 0.0
40, 5.15, 1, 12.7, 15, 32, gauss, 0.0
40, 5.45, 1, 11.3, 15, 32, gauss, 0.0
40, 5.4, 1, 11.4, 15, 32, gauss, 0.0
40, 4.8, 1, 12.6, 15, 32, gauss, 0.0
40, 4.65, 1, 12.2, 15, 32, gauss, 0.0
40, 5.25, 1, 11.0, 15, 32, gauss, 0.0
40, 4.5, 1, 12.6, 15, 32, gauss, 0.0
40, 5.05, 1, 12.8, 15, 32, gauss, 0.0
40, 5.05, 1, 11.1, 15, 32, gauss, 0.0
40, 5.4, 1, 11.2, 15, 32, gauss, 0.0
40, 4.85, 1, 12.9, 15, 32, gauss, 0.0
40, 4.95, 1, 11.3, 15, 32, gauss, 0.0
40, 5.4, 1, 12.4, 15, 32, gauss, 0.0
40, 4.95, 1, 11.0, 15, 32, gauss, 0.0
40, 4.95, 1, 12.2, 15, 32, gauss, 0.0
40, 5.4, 1, 12.7, 15, 32, gauss, 0.0
40, 5.05, 1, 11.3, 15, 32, gauss, 0.0
40, 5.15, 1, 12.6, 15, 32, gauss, 0.0
40, 4.8, 1, 12.8, 15, 32, gauss, 0.0
40, 4.5, 1, 12.5, 15, 32, gauss, 0.0
40, 4.7, 1, 12.9, 15, 32, gauss, 0.0
40, 4.85, 1, 12.0, 15, 32, gauss, 0.0
40, 4.55, 1, 11.9, 15, 32, gauss, 0.0
40, 4.8, 1, 12.2, 15, 32, gauss, 0.0
40, 4.65, 1, 11.5, 15, 32, gauss, 0.0
40, 5.2, 1, 11.3, 15, 32, gauss, 0.0
40, 4.55, 1, 11.0, 15, 32, gauss, 0.0
40, 4.65, 1, 12.1, 15, 32, gauss, 0.0
40, 5.05, 1, 11.8, 15, 32, gauss, 0.0
40, 5.05, 1, 11.7, 15, 32, gauss, 0.0
40, 4.7, 1, 11.2, 15, 32, gauss, 0.0
40, 4.85, 1, 11.6, 15, 32, gauss, 0.0
40, 4.65, 1, 11.7, 15, 32, gauss, 0.0
40, 5.25, 1, 11.6, 15, 32, gauss, 0.0
40, 5.35, 1, 11.4, 15, 32, gauss, 0.0
40, 5.4, 1, 11.9, 15, 32, gauss, 0.0
40, 5.35, 1, 11.3, 15, 32, gauss, 0.0
40, 5.45, 1, 12.1, 15, 32, gauss, 0.0
40, 4.65, 1, 12.4, 15, 32, gauss, 0.0
40, 5.45, 1, 12.4, 15, 32, gauss, 0.0
40, 5.1, 1, 11.8, 15, 32, gauss, 0.0
40, 4.55, 1, 11.2, 15, 32, gauss, 0.0
40, 4.95, 1, 12.3, 15, 32, gauss, 0.0
40, 4.8, 1, 11.5, 15, 32, gauss, 0.0
40, 4.9, 1, 12.1, 15, 32, gauss, 0.0
40, 4.8, 1, 12.4, 15, 32, gauss, 0.0
40, 5.35, 1, 12.6, 15, 32, gauss, 0.0
40, 4.75, 1, 12.7, 15, 32, gauss, 0.0
40, 4.55, 1, 12.0, 15, 32, gauss, 0.0
40, 4.55, 1, 12.9, 15, 32, gauss, 0.0
40, 5.2, 1, 12.8, 15, 32, gauss, 0.0
40, 4.65, 1, 11.6, 15, 32, gauss, 0.0
40, 5.25, 1, 12.5, 15, 32, gauss, 0.0
40, 4.9, 1, 11.3, 15, 32, gauss, 0.0
40, 4.95, 1, 11.5, 15, 32, gauss, 0.0
40, 5.35, 1, 11.1, 15, 32, gauss, 0.0
40, 4.75, 1, 12.9, 15, 32, gauss, 0.0
40, 5.15, 1, 11.6, 15, 32, gauss, 0.0
40, 5.05, 1, 12.5, 15, 32, gauss, 0.0
40, 5.4, 1, 11.0, 15, 32, gauss, 0.0
40, 5.45, 1, 11.7, 15, 32, gauss, 0.0
40, 5.3, 1, 12.5, 15, 32, gauss, 0.0
40, 4.85, 1, 12.8, 15, 32, gauss, 0.0
40, 4.95, 1, 12.0, 15, 32, gauss, 0.0
40, 5.35, 1, 11.9, 15, 32, gauss, 0.0
40, 5.4, 1, 12.8, 15, 32, gauss, 0.0
40, 4.95, 1, 12.7, 15, 32, gauss, 0.0
40, 5.4, 1, 11.5, 15, 32, gauss, 0.0
40, 4.7, 1, 12.6, 15, 32, gauss, 0.0
40, 4.8, 1, 11.8, 15, 32, gauss, 0.0
40, 4.55, 1, 11.3, 15, 32, gauss, 0.0
40, 5.4, 1, 11.1, 15, 32, gauss, 0.0
40, 5.25, 1, 12.6, 15, 32, gauss, 0.0
40, 5.3, 1, 12.1, 15, 32, gauss, 0.0
40, 4.55, 1, 12.4, 15, 32, gauss, 0.0
40, 4.5, 1, 11.9, 15, 32, gauss, 0.0
40, 5.15, 1, 11.8, 15, 32, gauss, 0.0
40, 5.35, 1, 12.2, 15, 32, gauss, 0.0
40, 4.85, 1, 11.8, 15, 32, gauss, 0.0
40, 5.1, 1, 12.6, 15, 32, gauss, 0.0
40, 4.5, 1, 11.2, 15, 32, gauss, 0.0
40, 5.4, 1, 12.9, 15, 32, gauss, 0.0
40, 5.45, 1, 12.9, 15, 32, gauss, 0.0
40, 4.75, 1, 12.0, 15, 32, gauss, 0.0
40, 4.75, 1, 11.5, 15, 32, gauss, 0.0
40, 4.7, 1, 11.6, 15, 32, gauss, 0.0
40, 5.0, 1, 11.9, 15, 32, gauss, 0.0
40, 5.2, 1, 11.1, 15, 32, gauss, 0.0
40, 5.0, 1, 11.8, 15, 32, gauss, 0.0
40, 5.25, 1, 12.2, 15, 32, gauss, 0.0
40, 5.0, 1, 11.4, 15, 32, gauss, 0.0
40, 5.0, 1, 11.2, 15, 32, gauss, 0.0
40, 4.65, 1, 11.3, 15, 32, gauss, 0.0
40, 4.75, 1, 12.1, 15, 32, gauss, 0.0
40, 5.0, 1, 11.3, 15, 32, gauss, 0.0
40, 5.45, 1, 11.8, 15, 32, gauss, 0.0
40, 4.6, 1, 11.5, 15, 32, gauss, 0.0
40, 4.55, 1, 12.6, 15, 32, gauss, 0.0
40, 5.0, 1, 11.5, 15, 32, gauss, 0.0
40, 5.25, 1, 12.0, 15, 32, gauss, 0.0
40, 5.15, 1, 11.9, 15, 32, gauss, 0.0
40, 4.75, 1, 12.4, 15, 32, gauss, 0.0
40, 4.5, 1, 12.3, 15, 32, gauss, 0.0
40, 5.2, 1, 12.1, 15, 32, gauss, 0.0
40, 4.5, 1, 12.1, 15, 32, gauss, 0.0
40, 4.6, 1, 12.9, 15, 32, gauss, 0.0
40, 4.55, 1, 11.6, 15, 32, gauss, 0.0
40, 4.7, 1, 12.2, 15, 32, gauss, 0.0
40, 4.6, 1, 12.4, 15, 32, gauss, 0.0
40, 4.7, 1, 12.5, 15, 32, gauss, 0.0
40, 5.1, 1, 11.9, 15, 32, gauss, 0.0
40, 5.2, 1, 11.0, 15, 32, gauss, 0.0
40, 4.7, 1, 11.7, 15, 32, gauss, 0.0
40, 4.55, 1, 11.8, 15, 32, gauss, 0.0
40, 5.4, 1, 12.1, 15, 32, gauss, 0.0
40, 4.6, 1, 11.2, 15, 32, gauss, 0.0
40, 4.5, 1, 12.0, 15, 32, gauss, 0.0
40, 5.45, 1, 11.4, 15, 32, gauss, 0.0
40, 5.15, 1, 12.1, 15, 32, gauss, 0.0
40, 4.85, 1, 11.2, 15, 32, gauss, 0.0
40, 5.15, 1, 12.2, 15, 32, gauss, 0.0
40, 4.95, 1, 12.6, 15, 32, gauss, 0.0
40, 5.4, 1, 12.5, 15, 32, gauss, 0.0
40, 4.8, 1, 11.0, 15, 32, gauss, 0.0
40, 5.1, 1, 12.7, 15, 32, gauss, 0.0
40, 5.2, 1, 12.5, 15, 32, gauss, 0.0
40, 5.25, 1, 12.9, 15, 32, gauss, 0.0
40, 4.85, 1, 11.9, 15, 32, gauss, 0.0
40, 5.35, 1, 11.7, 15, 32, gauss, 0.0
40, 4.65, 1, 11.2, 15, 32, gauss, 0.0
40, 5.15, 1, 11.4, 15, 32, gauss, 0.0
