L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 6.35819223987, 1, 9, 12, 32, gauss, 0.2
40, 4.25067121394, 1, 14, 16, 32, gauss, 0.0
40, 4.25067121394, 1, 12, 12, 32, gauss, 0.2
40, 6.35819223987, 1, 9, 16, 32, gauss, 0.1
40, 5.65685424949, 1, 11, 16, 32, gauss, 0.1
40, 4.25067121394, 1, 2, 8, 32, gauss, 0.1
40, 4.25067121394, 1, 11, 16, 32, gauss, 0.1
40, 5.01671234228, 1, 7, 16, 32, gauss, 0.2
40, 5.65685424949, 1, 1, 8, 32, gauss, 0.1
40, 5.19709561257, 1, 2, 8, 32, gauss, 0.1
40, 5.01671234228, 1, 6, 8, 32, gauss, 0.1
40, 6.35819223987, 1, 7, 8, 32, gauss, 0.0
40, 5.01671234228, 1, 9, 8, 32, gauss, 0.0
40, 5.65685424949, 1, 3, 16, 32, gauss, 0.3
40, 6.35819223987, 1, 13, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 8, 16, 32, gauss, 0.2
40, 4.25067121394, 1, 12, 8, 32, gauss, 0.1
40, 5.19709561257, 1, 10, 8, 32, gauss, 0.0
40, 5.65685424949, 1, 4, 12, 32, gauss, 0.1
40, 5.01671234228, 1, 7, 12, 32, gauss, 0.1
40, 5.65685424949, 1, 1, 12, 32, gauss, 0.0
40, 5.01671234228, 1, 8, 8, 32, gauss, 0.0
40, 5.01671234228, 1, 13, 12, 32, gauss, 0.0
40, 5.65685424949, 1, 10, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 7, 16, 32, gauss, 0.2
40, 4.25067121394, 1, 13, 12, 32, gauss, 0.2
40, 5.65685424949, 1, 2, 8, 32, gauss, 0.0
40, 6.35819223987, 1, 4, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 11, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 14, 12, 32, gauss, 0.3
40, 5.65685424949, 1, 9, 12, 32, gauss, 0.2
40, 5.65685424949, 1, 6, 16, 32, gauss, 0.3
40, 5.19709561257, 1, 10, 12, 32, gauss, 0.3
40, 6.35819223987, 1, 6, 12, 32, gauss, 0.1
40, 6.35819223987, 1, 10, 12, 32, gauss, 0.0
40, 6.35819223987, 1, 12, 16, 32, gauss, 0.0
40, 5.65685424949, 1, 5, 8, 32, gauss, 0.0
40, 5.65685424949, 1, 14, 16, 32, gauss, 0.2
40, 4.25067121394, 1, 7, 16, 32, gauss, 0.2
40, 5.19709561257, 1, 9, 16, 32, gauss, 0.3
40, 5.65685424949, 1, 11, 8, 32, gauss, 0.1
40, 5.01671234228, 1, 1, 8, 32, gauss, 0.0
40, 4.25067121394, 1, 13, 8, 32, gauss, 0.0
40, 5.65685424949, 1, 1, 16, 32, gauss, 0.1
40, 6.35819223987, 1, 4, 16, 32, gauss, 0.1
40, 5.01671234228, 1, 10, 12, 32, gauss, 0.1
40, 6.35819223987, 1, 7, 16, 32, gauss, 0.3
40, 5.65685424949, 1, 9, 16, 32, gauss, 0.3
40, 5.19709561257, 1, 7, 12, 32, gauss, 0.0
40, 5.01671234228, 1, 12, 16, 32, gauss, 0.3
40, 5.01671234228, 1, 2, 12, 32, gauss, 0.2
40, 4.25067121394, 1, 5, 8, 32, gauss, 0.1
40, 5.65685424949, 1, 8, 16, 32, gauss, 0.4
40, 5.01671234228, 1, 10, 16, 32, gauss, 0.0
40, 5.01671234228, 1, 11, 8, 32, gauss, 0.0
40, 6.35819223987, 1, 5, 8, 32, gauss, 0.0
40, 4.25067121394, 1, 8, 16, 32, gauss, 0.2
40, 6.35819223987, 1, 11, 8, 32, gauss, 0.0
40, 5.01671234228, 1, 4, 16, 32, gauss, 0.3
40, 5.01671234228, 1, 14, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 6, 16, 32, gauss, 0.3
40, 4.25067121394, 1, 10, 8, 32, gauss, 0.0
40, 6.35819223987, 1, 7, 12, 32, gauss, 0.1
40, 5.19709561257, 1, 7, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 14, 16, 32, gauss, 0.4
40, 5.19709561257, 1, 8, 8, 32, gauss, 0.0
40, 6.35819223987, 1, 6, 16, 32, gauss, 0.4
40, 4.25067121394, 1, 5, 16, 32, gauss, 0.4
40, 4.25067121394, 1, 13, 16, 32, gauss, 0.2
40, 5.65685424949, 1, 8, 8, 32, gauss, 0.1
40, 6.35819223987, 1, 10, 8, 32, gauss, 0.1
40, 4.25067121394, 1, 2, 12, 32, gauss, 0.0
40, 6.35819223987, 1, 2, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 6, 12, 32, gauss, 0.0
40, 4.25067121394, 1, 4, 16, 32, gauss, 0.2
40, 4.25067121394, 1, 10, 12, 32, gauss, 0.1
40, 5.01671234228, 1, 7, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 9, 8, 32, gauss, 0.1
40, 5.19709561257, 1, 12, 12, 32, gauss, 0.1
40, 6.35819223987, 1, 8, 12, 32, gauss, 0.2
40, 5.01671234228, 1, 4, 12, 32, gauss, 0.3
40, 4.25067121394, 1, 2, 16, 32, gauss, 0.6
40, 5.65685424949, 1, 3, 8, 32, gauss, 0.0
40, 6.35819223987, 1, 13, 16, 32, gauss, 0.5
40, 5.65685424949, 1, 9, 8, 32, gauss, 0.2
40, 6.35819223987, 1, 14, 12, 32, gauss, 0.1
40, 5.01671234228, 1, 3, 16, 32, gauss, 0.1
40, 4.25067121394, 1, 12, 16, 32, gauss, 0.2
40, 4.25067121394, 1, 6, 8, 32, gauss, 0.1
40, 4.25067121394, 1, 11, 8, 32, gauss, 0.0
40, 6.35819223987, 1, 2, 12, 32, gauss, 0.0
40, 5.19709561257, 1, 13, 12, 32, gauss, 0.2
40, 5.65685424949, 1, 14, 12, 32, gauss, 0.5
40, 5.01671234228, 1, 8, 12, 32, gauss, 0.0
40, 6.35819223987, 1, 5, 16, 32, gauss, 0.5
40, 5.65685424949, 1, 10, 12, 32, gauss, 0.0
40, 5.65685424949, 1, 7, 16, 32, gauss, 0.2
40, 4.25067121394, 1, 8, 8, 32, gauss, 0.0
40, 5.65685424949, 1, 7, 12, 32, gauss, 0.0
40, 5.01671234228, 1, 4, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 12, 16, 32, gauss, 0.1
40, 5.65685424949, 1, 12, 12, 32, gauss, 0.0
40, 5.01671234228, 1, 11, 16, 32, gauss, 0.3
40, 4.25067121394, 1, 3, 8, 32, gauss, 0.2
40, 5.19709561257, 1, 11, 12, 32, gauss, 0.2
40, 5.19709561257, 1, 14, 8, 32, gauss, 0.0
40, 6.35819223987, 1, 3, 8, 32, gauss, 0.0
40, 5.19709561257, 1, 13, 16, 32, gauss, 0.2
