L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 3.0, 1, 10, 8, 32, leastweight, 0.015
40, 0.5, 1, 2, 8, 32, exactmanhat, 0.035
40, 6.5, 1, 4, 8, 32, leastweight, 0.025
40, 5.5, 1, 14, 8, 32, exactmanhat, 0.035
40, 2.0, 1, 2, 8, 32, leastweight, 0.04
40, 6.0, 1, 2, 8, 32, exactmanhat, 0.04
40, 0.0, 1, 11, 8, 32, exactmanhat, 0.03
40, 4.5, 1, 3, 8, 32, exactmanhat, 0.015
40, 6.5, 1, 14, 8, 32, leastweight, 0.025
40, 0.0, 1, 3, 8, 32, leastweight, 0.02
40, 7.0, 1, 3, 8, 32, exactmanhat, 0.05
40, 4.5, 1, 5, 8, 32, leastweight, 0.055
40, 0.5, 1, 12, 8, 32, exactmanhat, 0.075
40, 2.5, 1, 12, 8, 32, exactmanhat, 0.02
40, 1.5, 1, 7, 8, 32, leastweight, 0.025
40, 4.5, 1, 2, 8, 32, leastweight, 0.02
40, 7.0, 1, 14, 8, 32, exactmanhat, 0.035
40, 5.0, 1, 13, 8, 32, leastweight, 0.045
40, 0.5, 1, 4, 8, 32, leastweight, 0.045
40, 0.0, 1, 13, 8, 32, exactmanhat, 0.02
40, 0.5, 1, 12, 8, 32, leastweight, 0.045
40, 4.5, 1, 16, 8, 32, leastweight, 0.025
40, 6.5, 1, 12, 8, 32, leastweight, 0.04
40, 2.0, 1, 3, 8, 32, exactmanhat, 0.02
40, 1.5, 1, 8, 8, 32, leastweight, 0.055
40, 1.0, 1, 16, 8, 32, leastweight, 0.05
40, 6.0, 1, 3, 8, 32, leastweight, 0.03
40, 2.0, 1, 11, 8, 32, exactmanhat, 0.025
40, 2.0, 1, 10, 8, 32, leastweight, 0.06
40, 6.0, 1, 11, 8, 32, leastweight, 0.045
40, 7.0, 1, 16, 8, 32, leastweight, 0.04
40, 6.5, 1, 3, 8, 32, leastweight, 0.035
40, 7.0, 1, 8, 8, 32, exactmanhat, 0.04
40, 1.0, 1, 14, 8, 32, leastweight, 0.015
40, 5.0, 1, 8, 8, 32, leastweight, 0.03
40, 1.5, 1, 10, 8, 32, leastweight, 0.025
40, 2.0, 1, 1, 8, 32, leastweight, 0.04
40, 2.0, 1, 6, 8, 32, exactmanhat, 0.045
40, 2.5, 1, 7, 8, 32, exactmanhat, 0.03
40, 2.5, 1, 15, 8, 32, exactmanhat, 0.03
40, 1.5, 1, 10, 8, 32, exactmanhat, 0.035
40, 7.0, 1, 5, 8, 32, exactmanhat, 0.04
40, 2.5, 1, 3, 8, 32, leastweight, 0.02
40, 5.0, 1, 1, 8, 32, leastweight, 0.03
40, 4.5, 1, 2, 8, 32, exactmanhat, 0.06
40, 6.5, 1, 11, 8, 32, exactmanhat, 0.035
40, 0.0, 1, 12, 8, 32, exactmanhat, 0.045
40, 6.0, 1, 13, 8, 32, exactmanhat, 0.045
40, 1.5, 1, 14, 8, 32, exactmanhat, 0.035
40, 4.0, 1, 13, 8, 32, leastweight, 0.035
40, 4.0, 1, 10, 8, 32, exactmanhat, 0.055
40, 7.0, 1, 4, 8, 32, leastweight, 0.025
40, 6.5, 1, 8, 8, 32, exactmanhat, 0.03
40, 6.0, 1, 8, 8, 32, exactmanhat, 0.015
40, 6.0, 1, 16, 8, 32, leastweight, 0.04
40, 5.0, 1, 15, 8, 32, exactmanhat, 0.035
40, 3.0, 1, 14, 8, 32, leastweight, 0.055
40, 6.5, 1, 15, 8, 32, exactmanhat, 0.035
40, 0.5, 1, 8, 8, 32, leastweight, 0.035
40, 1.0, 1, 13, 8, 32, exactmanhat, 0.035
40, 2.5, 1, 8, 8, 32, exactmanhat, 0.015
40, 3.5, 1, 14, 8, 32, leastweight, 0.05
40, 3.5, 1, 6, 8, 32, leastweight, 0.04
40, 7.5, 1, 9, 8, 32, leastweight, 0.02
40, 1.0, 1, 4, 8, 32, exactmanhat, 0.04
40, 3.0, 1, 7, 8, 32, leastweight, 0.045
40, 7.5, 1, 5, 8, 32, leastweight, 0.04
40, 0.0, 1, 6, 8, 32, leastweight, 0.06
40, 2.0, 1, 9, 8, 32, leastweight, 0.035
40, 5.5, 1, 1, 8, 32, leastweight, 0.02
40, 7.0, 1, 7, 8, 32, exactmanhat, 0.04
40, 5.5, 1, 3, 8, 32, exactmanhat, 0.03
40, 3.0, 1, 12, 8, 32, exactmanhat, 0.035
40, 5.0, 1, 9, 8, 32, leastweight, 0.03
40, 5.5, 1, 10, 8, 32, leastweight, 0.04
40, 7.5, 1, 1, 8, 32, leastweight, 0.035
40, 6.5, 1, 4, 8, 32, exactmanhat, 0.03
40, 7.5, 1, 8, 8, 32, leastweight, 0.06
40, 5.0, 1, 7, 8, 32, leastweight, 0.065
40, 5.5, 1, 14, 8, 32, leastweight, 0.015
40, 4.5, 1, 12, 8, 32, leastweight, 0.03
40, 0.0, 1, 5, 8, 32, exactmanhat, 0.015
40, 6.5, 1, 2, 8, 32, exactmanhat, 0.04
40, 7.5, 1, 4, 8, 32, leastweight, 0.035
40, 0.5, 1, 2, 8, 32, leastweight, 0.045
40, 7.5, 1, 7, 8, 32, leastweight, 0.045
40, 4.5, 1, 12, 8, 32, exactmanhat, 0.025
40, 6.0, 1, 14, 8, 32, exactmanhat, 0.055
40, 5.0, 1, 6, 8, 32, exactmanhat, 0.03
40, 3.5, 1, 6, 8, 32, exactmanhat, 0.05
40, 1.5, 1, 15, 8, 32, exactmanhat, 0.035
40, 3.5, 1, 5, 8, 32, leastweight, 0.075
40, 1.0, 1, 12, 8, 32, exactmanhat, 0.06
40, 5.5, 1, 9, 8, 32, exactmanhat, 0.045
40, 5.5, 1, 15, 8, 32, leastweight, 0.04
40, 0.5, 1, 10, 8, 32, exactmanhat, 0.03
40, 4.5, 1, 4, 8, 32, leastweight, 0.035
40, 2.0, 1, 5, 8, 32, leastweight, 0.025
40, 2.0, 1, 16, 8, 32, exactmanhat, 0.04
40, 4.5, 1, 10, 8, 32, exactmanhat, 0.035
40, 0.0, 1, 9, 8, 32, leastweight, 0.035
40, 7.5, 1, 6, 8, 32, leastweight, 0.025
40, 3.5, 1, 15, 8, 32, leastweight, 0.04
40, 3.0, 1, 3, 8, 32, exactmanhat, 0.08
40, 3.5, 1, 10, 8, 32, exactmanhat, 0.035
40, 2.0, 1, 14, 8, 32, leastweight, 0.015
40, 0.0, 1, 12, 8, 32, leastweight, 0.02
40, 3.0, 1, 2, 8, 32, leastweight, 0.04
40, 1.0, 1, 7, 8, 32, exactmanhat, 0.035
40, 0.0, 1, 2, 8, 32, leastweight, 0.005
40, 2.5, 1, 3, 8, 32, exactmanhat, 0.035
40, 2.5, 1, 16, 8, 32, leastweight, 0.03
40, 5.0, 1, 6, 8, 32, leastweight, 0.04
40, 1.0, 1, 2, 8, 32, exactmanhat, 0.045
40, 2.0, 1, 13, 8, 32, leastweight, 0.035
40, 1.0, 1, 10, 8, 32, exactmanhat, 0.03
40, 2.5, 1, 11, 8, 32, leastweight, 0.035
40, 7.5, 1, 9, 8, 32, exactmanhat, 0.025
40, 5.5, 1, 12, 8, 32, exactmanhat, 0.03
40, 4.0, 1, 7, 8, 32, exactmanhat, 0.035
40, 4.0, 1, 4, 8, 32, exactmanhat, 0.03
40, 1.5, 1, 9, 8, 32, exactmanhat, 0.03
40, 5.0, 1, 3, 8, 32, leastweight, 0.02
40, 4.0, 1, 1, 8, 32, leastweight, 0.015
40, 2.5, 1, 9, 8, 32, exactmanhat, 0.045
40, 6.0, 1, 4, 8, 32, leastweight, 0.03
40, 0.5, 1, 1, 8, 32, exactmanhat, 0.05
40, 0.5, 1, 14, 8, 32, exactmanhat, 0.03
40, 5.5, 1, 13, 8, 32, exactmanhat, 0.055
40, 0.5, 1, 11, 8, 32, exactmanhat, 0.045
40, 7.5, 1, 3, 8, 32, leastweight, 0.045
40, 7.0, 1, 13, 8, 32, exactmanhat, 0.05
40, 1.0, 1, 1, 8, 32, leastweight, 0.04
40, 0.5, 1, 16, 8, 32, leastweight, 0.025
40, 0.5, 1, 5, 8, 32, leastweight, 0.045
40, 7.5, 1, 14, 8, 32, exactmanhat, 0.06
40, 4.5, 1, 6, 8, 32, exactmanhat, 0.05
40, 7.5, 1, 12, 8, 32, leastweight, 0.045
40, 7.5, 1, 12, 8, 32, exactmanhat, 0.03
40, 6.5, 1, 16, 8, 32, exactmanhat, 0.04
40, 3.0, 1, 15, 8, 32, exactmanhat, 0.03
40, 3.5, 1, 3, 8, 32, exactmanhat, 0.035
40, 4.0, 1, 2, 8, 32, leastweight, 0.035
40, 2.0, 1, 11, 8, 32, leastweight, 0.03
40, 4.0, 1, 15, 8, 32, exactmanhat, 0.045
40, 0.0, 1, 15, 8, 32, leastweight, 0.03
40, 7.5, 1, 5, 8, 32, exactmanhat, 0.025
40, 5.0, 1, 10, 8, 32, exactmanhat, 0.03
40, 1.0, 1, 8, 8, 32, leastweight, 0.035
40, 3.5, 1, 2, 8, 32, exactmanhat, 0.06
40, 6.5, 1, 10, 8, 32, leastweight, 0.045
40, 2.5, 1, 16, 8, 32, exactmanhat, 0.045
40, 2.5, 1, 13, 8, 32, leastweight, 0.06
40, 1.5, 1, 16, 8, 32, exactmanhat, 0.05
40, 6.5, 1, 16, 8, 32, leastweight, 0.03
40, 3.0, 1, 6, 8, 32, leastweight, 0.025
40, 7.0, 1, 9, 8, 32, leastweight, 0.035
40, 2.5, 1, 14, 8, 32, exactmanhat, 0.02
40, 4.0, 1, 12, 8, 32, exactmanhat, 0.035
40, 5.5, 1, 7, 8, 32, leastweight, 0.035
40, 2.0, 1, 8, 8, 32, exactmanhat, 0.045
40, 5.5, 1, 5, 8, 32, leastweight, 0.035
40, 3.0, 1, 11, 8, 32, leastweight, 0.03
40, 7.0, 1, 11, 8, 32, exactmanhat, 0.04
40, 6.0, 1, 13, 8, 32, leastweight, 0.04
40, 3.0, 1, 16, 8, 32, leastweight, 0.03
40, 0.0, 1, 4, 8, 32, exactmanhat, 0.04
40, 4.5, 1, 15, 8, 32, leastweight, 0.035
40, 7.0, 1, 2, 8, 32, exactmanhat, 0.05
40, 1.5, 1, 5, 8, 32, leastweight, 0.035
40, 4.0, 1, 5, 8, 32, leastweight, 0.025
40, 4.0, 1, 9, 8, 32, exactmanhat, 0.02
40, 3.5, 1, 4, 8, 32, leastweight, 0.02
40, 6.0, 1, 12, 8, 32, leastweight, 0.015
40, 0.5, 1, 14, 8, 32, leastweight, 0.04
40, 5.0, 1, 5, 8, 32, exactmanhat, 0.03
40, 6.5, 1, 9, 8, 32, exactmanhat, 0.06
40, 0.5, 1, 15, 8, 32, leastweight, 0.04
40, 0.0, 1, 15, 8, 32, exactmanhat, 0.03
40, 2.0, 1, 4, 8, 32, exactmanhat, 0.04
40, 5.5, 1, 10, 8, 32, exactmanhat, 0.035
40, 1.0, 1, 3, 8, 32, exactmanhat, 0.065
40, 4.5, 1, 7, 8, 32, leastweight, 0.045
40, 1.5, 1, 4, 8, 32, leastweight, 0.01
40, 4.5, 1, 5, 8, 32, exactmanhat, 0.06
40, 4.5, 1, 14, 8, 32, leastweight, 0.03
40, 2.0, 1, 15, 8, 32, leastweight, 0.035
40, 5.5, 1, 2, 8, 32, exactmanhat, 0.035
40, 3.5, 1, 11, 8, 32, leastweight, 0.065
40, 3.5, 1, 13, 8, 32, exactmanhat, 0.055
40, 7.0, 1, 10, 8, 32, exactmanhat, 0.025
40, 1.0, 1, 9, 8, 32, exactmanhat, 0.025
40, 0.0, 1, 16, 8, 32, leastweight, 0.025
40, 1.0, 1, 12, 8, 32, leastweight, 0.03
40, 4.0, 1, 3, 8, 32, exactmanhat, 0.035
40, 6.5, 1, 13, 8, 32, leastweight, 0.035
40, 5.5, 1, 9, 8, 32, leastweight, 0.01
40, 6.0, 1, 1, 8, 32, exactmanhat, 0.02
40, 6.5, 1, 14, 8, 32, exactmanhat, 0.05
40, 7.5, 1, 6, 8, 32, exactmanhat, 0.045
40, 5.5, 1, 12, 8, 32, leastweight, 0.045
40, 1.0, 1, 5, 8, 32, leastweight, 0.02
40, 1.5, 1, 11, 8, 32, leastweight, 0.06
40, 2.5, 1, 6, 8, 32, exactmanhat, 0.04
40, 2.0, 1, 7, 8, 32, exactmanhat, 0.045
40, 1.5, 1, 1, 8, 32, exactmanhat, 0.035
40, 3.5, 1, 8, 8, 32, exactmanhat, 0.075
40, 6.5, 1, 5, 8, 32, exactmanhat, 0.065
40, 7.5, 1, 10, 8, 32, leastweight, 0.03
40, 2.5, 1, 5, 8, 32, leastweight, 0.05
40, 1.5, 1, 3, 8, 32, leastweight, 0.015
40, 3.0, 1, 8, 8, 32, leastweight, 0.03
40, 3.0, 1, 15, 8, 32, leastweight, 0.04
40, 2.0, 1, 2, 8, 32, exactmanhat, 0.045
40, 4.0, 1, 6, 8, 32, leastweight, 0.045
40, 7.5, 1, 13, 8, 32, leastweight, 0.045
40, 0.0, 1, 9, 8, 32, exactmanhat, 0.035
40, 5.5, 1, 11, 8, 32, leastweight, 0.03
40, 3.0, 1, 1, 8, 32, leastweight, 0.03
40, 3.5, 1, 7, 8, 32, exactmanhat, 0.03
40, 7.0, 1, 1, 8, 32, exactmanhat, 0.035
40, 5.5, 1, 16, 8, 32, leastweight, 0.005
40, 7.5, 1, 3, 8, 32, exactmanhat, 0.045
40, 4.0, 1, 11, 8, 32, exactmanhat, 0.03
40, 6.0, 1, 9, 8, 32, exactmanhat, 0.04
40, 7.0, 1, 4, 8, 32, exactmanhat, 0.025
40, 6.0, 1, 8, 8, 32, leastweight, 0.035
40, 4.0, 1, 16, 8, 32, leastweight, 0.045
40, 7.0, 1, 12, 8, 32, exactmanhat, 0.04
40, 5.0, 1, 15, 8, 32, leastweight, 0.03
40, 3.0, 1, 14, 8, 32, exactmanhat, 0.015
40, 0.5, 1, 11, 8, 32, leastweight, 0.02
40, 7.5, 1, 1, 8, 32, exactmanhat, 0.03
40, 6.0, 1, 6, 8, 32, leastweight, 0.035
40, 0.0, 1, 14, 8, 32, leastweight, 0.035
40, 0.0, 1, 11, 8, 32, leastweight, 0.025
40, 5.5, 1, 6, 8, 32, leastweight, 0.04
40, 0.0, 1, 7, 8, 32, leastweight, 0.04
40, 5.5, 1, 3, 8, 32, leastweight, 0.025
40, 2.5, 1, 9, 8, 32, leastweight, 0.035
40, 2.5, 1, 5, 8, 32, exactmanhat, 0.065
40, 5.0, 1, 2, 8, 32, leastweight, 0.05
40, 5.0, 1, 11, 8, 32, leastweight, 0.05
40, 3.0, 1, 9, 8, 32, leastweight, 0.04
40, 7.0, 1, 8, 8, 32, leastweight, 0.035
40, 6.5, 1, 1, 8, 32, exactmanhat, 0.015
40, 6.5, 1, 8, 8, 32, leastweight, 0.05
40, 4.5, 1, 1, 8, 32, exactmanhat, 0.05
40, 1.5, 1, 8, 8, 32, exactmanhat, 0.025
40, 1.5, 1, 12, 8, 32, leastweight, 0.025
40, 5.5, 1, 15, 8, 32, exactmanhat, 0.02
40, 6.0, 1, 7, 8, 32, exactmanhat, 0.045
40, 6.0, 1, 15, 8, 32, exactmanhat, 0.015
40, 6.5, 1, 7, 8, 32, exactmanhat, 0.02
40, 1.5, 1, 13, 8, 32, exactmanhat, 0.04
40, 3.5, 1, 12, 8, 32, leastweight, 0.05
40, 7.5, 1, 2, 8, 32, exactmanhat, 0.045
40, 2.5, 1, 10, 8, 32, exactmanhat, 0.05
40, 3.0, 1, 4, 8, 32, leastweight, 0.06
40, 1.5, 1, 5, 8, 32, exactmanhat, 0.055
40, 2.5, 1, 2, 8, 32, exactmanhat, 0.035
40, 6.0, 1, 16, 8, 32, exactmanhat, 0.04
40, 6.5, 1, 1, 8, 32, leastweight, 0.035
40, 5.0, 1, 13, 8, 32, exactmanhat, 0.02
40, 5.5, 1, 4, 8, 32, leastweight, 0.025
40, 4.5, 1, 4, 8, 32, exactmanhat, 0.035
40, 2.0, 1, 16, 8, 32, leastweight, 0.05
40, 3.0, 1, 5, 8, 32, leastweight, 0.025
40, 7.5, 1, 4, 8, 32, exactmanhat, 0.02
40, 2.0, 1, 3, 8, 32, leastweight, 0.035
40, 1.5, 1, 12, 8, 32, exactmanhat, 0.045
40, 3.5, 1, 5, 8, 32, exactmanhat, 0.055
40, 1.5, 1, 2, 8, 32, leastweight, 0.01
40, 6.0, 1, 5, 8, 32, exactmanhat, 0.065
40, 7.5, 1, 13, 8, 32, exactmanhat, 0.055
40, 7.0, 1, 16, 8, 32, exactmanhat, 0.055
40, 5.0, 1, 9, 8, 32, exactmanhat, 0.06
40, 6.5, 1, 15, 8, 32, leastweight, 0.015
40, 6.0, 1, 2, 8, 32, leastweight, 0.055
40, 3.0, 1, 2, 8, 32, exactmanhat, 0.045
40, 6.0, 1, 10, 8, 32, exactmanhat, 0.02
40, 7.5, 1, 11, 8, 32, leastweight, 0.035
40, 3.5, 1, 13, 8, 32, leastweight, 0.045
40, 0.0, 1, 5, 8, 32, leastweight, 0.02
40, 5.0, 1, 8, 8, 32, exactmanhat, 0.01
40, 0.5, 1, 4, 8, 32, exactmanhat, 0.02
40, 2.5, 1, 7, 8, 32, leastweight, 0.04
40, 1.0, 1, 6, 8, 32, exactmanhat, 0.05
40, 6.5, 1, 10, 8, 32, exactmanhat, 0.05
40, 1.5, 1, 13, 8, 32, leastweight, 0.025
40, 0.5, 1, 16, 8, 32, exactmanhat, 0.05
40, 2.5, 1, 6, 8, 32, leastweight, 0.055
40, 4.5, 1, 3, 8, 32, leastweight, 0.06
40, 1.0, 1, 4, 8, 32, leastweight, 0.055
40, 3.0, 1, 7, 8, 32, exactmanhat, 0.055
40, 0.0, 1, 2, 8, 32, exactmanhat, 0.05
40, 2.5, 1, 10, 8, 32, leastweight, 0.05
40, 5.0, 1, 16, 8, 32, leastweight, 0.02
40, 0.0, 1, 14, 8, 32, exactmanhat, 0.045
40, 4.0, 1, 14, 8, 32, exactmanhat, 0.03
40, 3.0, 1, 10, 8, 32, exactmanhat, 0.065
40, 1.0, 1, 9, 8, 32, leastweight, 0.06
40, 2.0, 1, 1, 8, 32, exactmanhat, 0.06
40, 5.5, 1, 16, 8, 32, exactmanhat, 0.045
40, 5.5, 1, 8, 8, 32, exactmanhat, 0.03
40, 5.5, 1, 2, 8, 32, leastweight, 0.05
40, 6.5, 1, 9, 8, 32, leastweight, 0.055
40, 2.0, 1, 14, 8, 32, exactmanhat, 0.05
40, 0.5, 1, 3, 8, 32, leastweight, 0.015
40, 3.5, 1, 15, 8, 32, exactmanhat, 0.055
40, 0.5, 1, 13, 8, 32, leastweight, 0.025
40, 3.0, 1, 13, 8, 32, leastweight, 0.02
40, 2.0, 1, 7, 8, 32, leastweight, 0.03
40, 2.5, 1, 1, 8, 32, exactmanhat, 0.035
40, 4.5, 1, 6, 8, 32, leastweight, 0.005
40, 4.0, 1, 10, 8, 32, leastweight, 0.025
40, 0.5, 1, 8, 8, 32, exactmanhat, 0.015
40, 3.5, 1, 1, 8, 32, leastweight, 0.05
40, 7.5, 1, 15, 8, 32, leastweight, 0.045
40, 4.0, 1, 8, 8, 32, leastweight, 0.065
40, 4.5, 1, 15, 8, 32, exactmanhat, 0.04
40, 4.0, 1, 6, 8, 32, exactmanhat, 0.065
40, 0.5, 1, 13, 8, 32, exactmanhat, 0.04
40, 7.0, 1, 6, 8, 32, leastweight, 0.04
40, 3.0, 1, 1, 8, 32, exactmanhat, 0.03
40, 5.0, 1, 3, 8, 32, exactmanhat, 0.06
40, 1.0, 1, 16, 8, 32, exactmanhat, 0.04
40, 1.5, 1, 9, 8, 32, leastweight, 0.035
40, 2.0, 1, 9, 8, 32, exactmanhat, 0.03
40, 1.5, 1, 7, 8, 32, exactmanhat, 0.025
40, 0.5, 1, 1, 8, 32, leastweight, 0.025
40, 6.0, 1, 9, 8, 32, leastweight, 0.02
40, 2.5, 1, 4, 8, 32, exactmanhat, 0.05
40, 2.0, 1, 12, 8, 32, exactmanhat, 0.025
40, 7.0, 1, 7, 8, 32, leastweight, 0.025
40, 5.0, 1, 14, 8, 32, exactmanhat, 0.045
40, 4.5, 1, 14, 8, 32, exactmanhat, 0.05
40, 7.0, 1, 15, 8, 32, exactmanhat, 0.05
40, 0.0, 1, 13, 8, 32, leastweight, 0.03
40, 2.5, 1, 4, 8, 32, leastweight, 0.025
40, 4.5, 1, 9, 8, 32, exactmanhat, 0.025
40, 5.5, 1, 13, 8, 32, leastweight, 0.065
40, 6.5, 1, 11, 8, 32, leastweight, 0.05
40, 0.0, 1, 10, 8, 32, exactmanhat, 0.02
40, 4.0, 1, 5, 8, 32, exactmanhat, 0.055
40, 4.0, 1, 13, 8, 32, exactmanhat, 0.015
40, 1.0, 1, 2, 8, 32, leastweight, 0.045
40, 1.0, 1, 10, 8, 32, leastweight, 0.07
40, 7.0, 1, 14, 8, 32, leastweight, 0.05
40, 1.0, 1, 13, 8, 32, leastweight, 0.02
40, 7.5, 1, 11, 8, 32, exactmanhat, 0.05
40, 3.5, 1, 9, 8, 32, leastweight, 0.03
40, 2.0, 1, 4, 8, 32, leastweight, 0.025
40, 5.0, 1, 4, 8, 32, exactmanhat, 0.025
40, 1.0, 1, 3, 8, 32, leastweight, 0.045
40, 2.5, 1, 11, 8, 32, exactmanhat, 0.015
40, 3.5, 1, 16, 8, 32, leastweight, 0.045
40, 1.5, 1, 16, 8, 32, leastweight, 0.04
40, 5.5, 1, 11, 8, 32, exactmanhat, 0.045
